week,region,family,sales,quantity
2017-01-20,3,Popcorn,1632021,29470
2017-01-20,3,Other families,5731334,126274
2017-01-20,4,Coffee drinks,209739,4147
2017-01-20,4,Bottled drinks,180011,8387
2017-01-20,4,Combos,8699150,64001
2017-01-20,4,Popcorn,1865509,35440
2017-01-20,4,Other families,5803439,142770
2017-01-27,1,Coffee drinks,299124,5683
2017-01-27,1,Bottled drinks,188158,8424
2017-01-27,1,Combos,9597224,68775
2017-01-27,1,Popcorn,2176261,39718
2017-01-27,1,Other families,5420919,147758
2017-01-27,2,Coffee drinks,164568,3177
2017-01-27,2,Bottled drinks,142393,6402
2017-01-27,2,Combos,6852002,48367
2017-01-27,2,Popcorn,1199736,22571
2017-01-27,2,Other families,4446915,103382
2017-01-27,3,Coffee drinks,293472,5468
2017-01-27,3,Bottled drinks,195129,8603
2017-01-27,3,Combos,8361767,57290
2017-01-27,3,Popcorn,1869879,33512
2017-01-27,3,Other families,6513952,142966
2017-01-27,4,Coffee drinks,275547,5433
2017-01-27,4,Bottled drinks,199801,9404
2017-01-27,4,Combos,10957507,79669
2017-01-27,4,Popcorn,2190530,41670
2017-01-27,4,Other families,6905533,168836
2017-02-03,1,Coffee drinks,288603,5538
2017-02-03,1,Bottled drinks,214443,9615
2017-02-03,1,Combos,11593038,85424
2017-02-03,1,Popcorn,2433369,44129
2017-02-03,1,Other families,6080296,159972
2017-02-03,2,Coffee drinks,153594,2952
2017-02-03,2,Bottled drinks,158816,7104
2017-02-03,2,Combos,7996959,58346
2017-02-03,2,Popcorn,1299429,24400
2017-02-03,2,Other families,4864390,109896
2017-02-03,3,Coffee drinks,314640,5948
2017-02-03,3,Bottled drinks,211572,9355
2017-02-03,3,Combos,9811889,69042
2017-02-03,3,Popcorn,2074720,37309
2017-02-03,3,Other families,7293687,157998
2017-02-03,4,Coffee drinks,253329,5001
2017-02-03,4,Bottled drinks,215490,10126
2017-02-03,4,Combos,12982958,97498
2017-02-03,4,Popcorn,2346272,44568
2017-02-03,4,Other families,7500671,180065
2017-02-10,1,Coffee drinks,262086,5056
2017-02-10,1,Bottled drinks,219622,9849
2017-02-10,1,Combos,10307989,72311
2017-02-10,1,Popcorn,2284787,41696
2017-02-10,1,Other families,6049157,153453
2017-02-10,2,Coffee drinks,132388,2541
2017-02-10,2,Bottled drinks,164790,7460
2017-02-10,2,Combos,7380008,51191
2017-02-10,2,Popcorn,1259296,23633
2017-02-10,2,Other families,4956137,107696
2017-02-10,3,Coffee drinks,278899,5263
2017-02-10,3,Bottled drinks,217202,9615
2017-02-10,3,Combos,9192504,61726
2017-02-10,3,Popcorn,1974834,35672
2017-02-10,3,Other families,7372809,156415
2017-02-10,4,Coffee drinks,234516,4632
2017-02-10,4,Bottled drinks,214917,10217
2017-02-10,4,Combos,10822357,77100
2017-02-10,4,Popcorn,2203784,42155
2017-02-10,4,Other families,7435668,172198
2017-02-17,1,Coffee drinks,282340,5448
2017-02-17,1,Bottled drinks,197341,8905
2017-02-17,1,Combos,9122476,65088
2017-02-17,1,Popcorn,2129792,38802
2017-02-17,1,Other families,5422705,138131
2017-02-17,2,Coffee drinks,137638,2683
2017-02-17,2,Bottled drinks,155442,6993
2017-02-17,2,Combos,6448745,45636
2017-02-17,2,Popcorn,1181295,22126
2017-02-17,2,Other families,4378108,96106
2017-02-17,3,Coffee drinks,257722,4879
2017-02-17,3,Bottled drinks,195186,8544
2017-02-17,3,Combos,7268159,50049
2017-02-17,3,Popcorn,1707724,31027
2017-02-17,3,Other families,6097622,126950
2017-02-17,4,Coffee drinks,217571,4317
2017-02-17,4,Bottled drinks,182888,8663
2017-02-17,4,Combos,8637620,62966
2017-02-17,4,Popcorn,1904914,36524
2017-02-17,4,Other families,6112276,141440
2017-02-24,1,Coffee drinks,261224,5023
2017-02-24,1,Bottled drinks,187737,8421
2017-02-24,1,Combos,8302101,59391
2017-02-24,1,Popcorn,1983794,36277
2017-02-24,1,Other families,5046116,126384
2017-02-24,2,Coffee drinks,118285,2297
2017-02-24,2,Bottled drinks,144541,6442
2017-02-24,2,Combos,5816306,41212
2017-02-24,2,Popcorn,1088382,20420
2017-02-24,2,Other families,4036654,88072
2017-02-24,3,Coffee drinks,222711,4231
2017-02-24,3,Bottled drinks,185138,8087
2017-02-24,3,Combos,6526643,44985
2017-02-24,3,Popcorn,1587569,28769
2017-02-24,3,Other families,5650424,115968
2017-02-24,4,Coffee drinks,196678,3881
2017-02-24,4,Bottled drinks,182214,8518
2017-02-24,4,Combos,8531033,62899
2017-02-24,4,Popcorn,1853537,35500
2017-02-24,4,Other families,5985165,140962
2017-03-03,1,Coffee drinks,264689,5070
2017-03-03,1,Bottled drinks,225723,10034
2017-03-03,1,Combos,11070278,79119
2017-03-03,1,Popcorn,2303039,42235
2017-03-03,1,Other families,6083389,147758
2017-03-03,2,Coffee drinks,149492,2894
2017-03-03,2,Bottled drinks,167677,7473
2017-03-03,2,Combos,8016515,56815
2017-03-03,2,Popcorn,1312223,24495
2017-03-03,2,Other families,4948824,107637
2017-03-03,3,Coffee drinks,293288,5503
2017-03-03,3,Bottled drinks,203650,8841
2017-03-03,3,Combos,8898694,61378
2017-03-03,3,Popcorn,1853522,33598
2017-03-03,3,Other families,6832659,139000
2017-03-03,4,Coffee drinks,220374,4371
2017-03-03,4,Bottled drinks,202222,9541
2017-03-03,4,Combos,11411627,83262
2017-03-03,4,Popcorn,2135688,41040
2017-03-03,4,Other families,7199046,168269
2017-03-10,1,Coffee drinks,216055,4168
2017-03-10,1,Bottled drinks,202496,8995
2017-03-10,1,Combos,9769960,69198
2017-03-10,1,Popcorn,2153912,39432
2017-03-10,1,Other families,5334434,121762
2017-03-10,2,Coffee drinks,147374,2849
2017-03-10,2,Bottled drinks,148337,6602
2017-03-10,2,Combos,7117141,50067
2017-03-10,2,Popcorn,1281219,23876
2017-03-10,2,Other families,4442340,91671
2017-03-10,3,Coffee drinks,295422,5537
2017-03-10,3,Bottled drinks,180964,7939
2017-03-10,3,Combos,8392615,57214
2017-03-10,3,Popcorn,1835667,33020
2017-03-10,3,Other families,6353132,124873
2017-03-10,4,Coffee drinks,221329,4363
2017-03-10,4,Bottled drinks,192974,9029
2017-03-10,4,Combos,10326114,74709
2017-03-10,4,Popcorn,2072351,39612
2017-03-10,4,Other families,6505715,145098
2017-03-17,1,Coffee drinks,232344,4473
2017-03-17,1,Bottled drinks,261733,11388
2017-03-17,1,Combos,13975180,100123
2017-03-17,1,Popcorn,2755652,49717
2017-03-17,1,Other families,7166766,152150
2017-03-17,2,Coffee drinks,143853,2788
2017-03-17,2,Bottled drinks,202823,8851
2017-03-17,2,Combos,10290589,72813
2017-03-17,2,Popcorn,1568309,28899
2017-03-17,2,Other families,5924175,113110
2017-03-17,3,Coffee drinks,322847,6009
2017-03-17,3,Bottled drinks,263825,11292
2017-03-17,3,Combos,12846396,86984
2017-03-17,3,Popcorn,2488070,44260
2017-03-17,3,Other families,9116112,173171
2017-03-17,4,Coffee drinks,249055,4872
2017-03-17,4,Bottled drinks,242172,11140
2017-03-17,4,Combos,14992036,110095
2017-03-17,4,Popcorn,2619302,49537
2017-03-17,4,Other families,8620504,182114
2017-03-24,1,Coffee drinks,183538,3573
2017-03-24,1,Bottled drinks,204986,9120
2017-03-24,1,Combos,10136126,72410
2017-03-24,1,Popcorn,2144153,39004
2017-03-24,1,Other families,5516082,115418
2017-03-24,2,Coffee drinks,99325,1934
2017-03-24,2,Bottled drinks,158835,7082
2017-03-24,2,Combos,7417550,52209
2017-03-24,2,Popcorn,1216549,22503
2017-03-24,2,Other families,4423222,84061
2017-03-24,3,Coffee drinks,218303,4099
2017-03-24,3,Bottled drinks,192828,8334
2017-03-24,3,Combos,8242051,56253
2017-03-24,3,Popcorn,1730943,31032
2017-03-24,3,Other families,6175917,115687
2017-03-24,4,Coffee drinks,169781,3428
2017-03-24,4,Bottled drinks,192708,8977
2017-03-24,4,Combos,10429401,75932
2017-03-24,4,Popcorn,1995323,37826
2017-03-24,4,Other families,6391592,133267
2017-03-31,1,Coffee drinks,207115,3985
2017-03-31,1,Bottled drinks,233983,10359
2017-03-31,1,Combos,11936876,84722
2017-03-31,1,Popcorn,2492519,45183
2017-03-31,1,Other families,6504512,135345
2017-03-31,2,Coffee drinks,99745,1956
2017-03-31,2,Bottled drinks,178504,7949
2017-03-31,2,Combos,8576629,60305
2017-03-31,2,Popcorn,1376693,25568
2017-03-31,2,Other families,5246027,97720
2017-03-31,3,Coffee drinks,195377,3689
2017-03-31,3,Bottled drinks,224772,9646
2017-03-31,3,Combos,10006293,67959
2017-03-31,3,Popcorn,1968774,35232
2017-03-31,3,Other families,7565241,139626
2017-03-31,4,Coffee drinks,176155,3555
2017-03-31,4,Bottled drinks,242980,11317
2017-03-31,4,Combos,12950905,93683
2017-03-31,4,Popcorn,2374150,45200
2017-03-31,4,Other families,8061979,166156
2017-04-07,1,Coffee drinks,202033,3976
2017-04-07,1,Bottled drinks,253907,11178
2017-04-07,1,Combos,12797444,89941
2017-04-07,1,Popcorn,2658484,47756
2017-04-07,1,Other families,6987151,144159
2017-04-07,2,Coffee drinks,114962,2294
2017-04-07,2,Bottled drinks,193756,8465
2017-04-07,2,Combos,9490835,65776
2017-04-07,2,Popcorn,1492497,27325
2017-04-07,2,Other families,5773615,107552
2017-04-07,3,Coffee drinks,233456,4522
2017-04-07,3,Bottled drinks,251532,10784
2017-04-07,3,Combos,11670283,78362
2017-04-07,3,Popcorn,2255364,39843
2017-04-07,3,Other families,8324751,155865
2017-04-07,4,Coffee drinks,215349,4394
2017-04-07,4,Bottled drinks,245786,11298
2017-04-07,4,Combos,13871144,98425
2017-04-07,4,Popcorn,2540056,47759
2017-04-07,4,Other families,8529040,174871
2017-04-14,1,Coffee drinks,177816,3457
2017-04-14,1,Bottled drinks,229284,10033
2017-04-14,1,Combos,14111449,99113
2017-04-14,1,Popcorn,2604526,46275
2017-04-14,1,Other families,6805118,141909
2017-04-14,2,Coffee drinks,106218,2073
2017-04-14,2,Bottled drinks,167221,7361
2017-04-14,2,Combos,10444802,72530
2017-04-14,2,Popcorn,1486484,27078
2017-04-14,2,Other families,5543568,104680
2017-04-14,3,Coffee drinks,254865,4760
2017-04-14,3,Bottled drinks,199439,8632
2017-04-14,3,Combos,12684777,84036
2017-04-14,3,Popcorn,2158923,37819
2017-04-14,3,Other families,7899823,151563
2017-04-14,4,Coffee drinks,204397,4031
2017-04-14,4,Bottled drinks,229281,10516
2017-04-14,4,Combos,16690958,117630
2017-04-14,4,Popcorn,2636528,48987
2017-04-14,4,Other families,8648264,182173
2017-04-21,1,Coffee drinks,133495,2619
2017-04-21,1,Bottled drinks,173243,7680
2017-04-21,1,Combos,8149156,57886
2017-04-21,1,Popcorn,1773816,32063
2017-04-21,1,Other families,4432549,90479
2017-04-21,2,Coffee drinks,82130,1599
2017-04-21,2,Bottled drinks,136184,6059
2017-04-21,2,Combos,6028317,42719
2017-04-21,2,Popcorn,1028574,19043
2017-04-21,2,Other families,3670692,67428
2017-04-21,3,Coffee drinks,177687,3374
2017-04-21,3,Bottled drinks,169797,7381
2017-04-21,3,Combos,7119666,48521
2017-04-21,3,Popcorn,1519985,27156
2017-04-21,3,Other families,5333145,97744
2017-04-21,4,Coffee drinks,161312,3214
2017-04-21,4,Bottled drinks,174616,8132
2017-04-21,4,Combos,8870744,64061
2017-04-21,4,Popcorn,1768216,33488
2017-04-21,4,Other families,5535877,112914
2017-04-28,1,Coffee drinks,170673,3243
2017-04-28,1,Bottled drinks,243686,10690
2017-04-28,1,Combos,12921202,91905
2017-04-28,1,Popcorn,2419637,43074
2017-04-28,1,Other families,6871979,136628
2017-04-28,2,Coffee drinks,95599,1825
2017-04-28,2,Bottled drinks,196252,8471
2017-04-28,2,Combos,9656095,67766
2017-04-28,2,Popcorn,1351840,24719
2017-04-28,2,Other families,5678709,101998
2017-04-28,3,Coffee drinks,207566,3845
2017-04-28,3,Bottled drinks,258302,10954
2017-04-28,3,Combos,11619292,78111
2017-04-28,3,Popcorn,2078994,36632
2017-04-28,3,Other families,8308984,152888
2017-04-28,4,Coffee drinks,162535,3242
2017-04-28,4,Bottled drinks,248426,11308
2017-04-28,4,Combos,14152526,102894
2017-04-28,4,Popcorn,2303245,42884
2017-04-28,4,Other families,8242673,164003
2017-05-05,1,Coffee drinks,192172,3611
2017-05-05,1,Bottled drinks,220717,9715
2017-05-05,1,Combos,10984543,76553
2017-05-05,1,Popcorn,2276879,40705
2017-05-05,1,Other families,5723267,120975
2017-05-05,2,Coffee drinks,94181,1802
2017-05-05,2,Bottled drinks,162744,7180
2017-05-05,2,Combos,7894555,54207
2017-05-05,2,Popcorn,1207454,22277
2017-05-05,2,Other families,4628859,86842
2017-05-05,3,Coffee drinks,208879,3835
2017-05-05,3,Bottled drinks,212007,9024
2017-05-05,3,Combos,8991345,59408
2017-05-05,3,Popcorn,1809245,32194
2017-05-05,3,Other families,6636402,127988
2017-05-05,4,Coffee drinks,190366,3744
2017-05-05,4,Bottled drinks,222396,10310
2017-05-05,4,Combos,12449935,87789
2017-05-05,4,Popcorn,2286772,42999
2017-05-05,4,Other families,7402043,153111
2017-05-12,1,Coffee drinks,177919,3387
2017-05-12,1,Bottled drinks,228885,10069
2017-05-12,1,Combos,10650182,76027
2017-05-12,1,Popcorn,2256751,40573
2017-05-12,1,Other families,5881628,120539
2017-05-12,2,Coffee drinks,92606,1786
2017-05-12,2,Bottled drinks,184242,8090
2017-05-12,2,Combos,8028022,56399
2017-05-12,2,Popcorn,1263328,23399
2017-05-12,2,Other families,4980752,91416
2017-05-12,3,Coffee drinks,199381,3709
2017-05-12,3,Bottled drinks,217196,9301
2017-05-12,3,Combos,8858800,60294
2017-05-12,3,Popcorn,1839593,32869
2017-05-12,3,Other families,6808393,128923
2017-05-12,4,Coffee drinks,184880,3616
2017-05-12,4,Bottled drinks,228329,10617
2017-05-12,4,Combos,12235506,88150
2017-05-12,4,Popcorn,2278500,42992
2017-05-12,4,Other families,7473795,152025
2017-05-19,1,Coffee drinks,138792,2688
2017-05-19,1,Bottled drinks,196696,8705
2017-05-19,1,Combos,8336789,58854
2017-05-19,1,Popcorn,1908351,34528
2017-05-19,1,Other families,4807972,97858
2017-05-19,2,Coffee drinks,73994,1407
2017-05-19,2,Bottled drinks,171502,7546
2017-05-19,2,Combos,6611331,45775
2017-05-19,2,Popcorn,1164284,21593
2017-05-19,2,Other families,4325828,78183
2017-05-19,3,Coffee drinks,149499,2779
2017-05-19,3,Bottled drinks,205083,8794
2017-05-19,3,Combos,6809817,45912
2017-05-19,3,Popcorn,1563227,28224
2017-05-19,3,Other families,5734520,102578
2017-05-19,4,Coffee drinks,151359,2971
2017-05-19,4,Bottled drinks,203960,9422
2017-05-19,4,Combos,8933829,63549
2017-05-19,4,Popcorn,1874788,35528
2017-05-19,4,Other families,6049367,119951
2017-05-26,1,Coffee drinks,166806,3203
2017-05-26,1,Bottled drinks,248175,10911
2017-05-26,1,Combos,11328332,79600
2017-05-26,1,Popcorn,2371238,42769
2017-05-26,1,Other families,6573264,132370
2017-05-26,2,Coffee drinks,88705,1724
2017-05-26,2,Bottled drinks,194280,8506
2017-05-26,2,Combos,8410538,58130
2017-05-26,2,Popcorn,1352352,25045
2017-05-26,2,Other families,5493120,99112
2017-05-26,3,Coffee drinks,191604,3543
2017-05-26,3,Bottled drinks,236188,10034
2017-05-26,3,Combos,9147364,61191
2017-05-26,3,Popcorn,1946984,34926
2017-05-26,3,Other families,7396591,134056
2017-05-26,4,Coffee drinks,211898,4137
2017-05-26,4,Bottled drinks,234295,10737
2017-05-26,4,Combos,11711013,82725
2017-05-26,4,Popcorn,2279538,42785
2017-05-26,4,Other families,7955044,156384
2017-06-02,1,Coffee drinks,176757,3387
2017-06-02,1,Bottled drinks,268674,11764
2017-06-02,1,Combos,12734018,90143
2017-06-02,1,Popcorn,2621253,47136
2017-06-02,1,Other families,7092253,143865
2017-06-02,2,Coffee drinks,101239,1944
2017-06-02,2,Bottled drinks,216273,9461
2017-06-02,2,Combos,10147235,70149
2017-06-02,2,Popcorn,1522340,28200
2017-06-02,2,Other families,6103464,112952
2017-06-02,3,Coffee drinks,212920,3905
2017-06-02,3,Bottled drinks,258623,11028
2017-06-02,3,Combos,11298679,75832
2017-06-02,3,Popcorn,2214513,39526
2017-06-02,3,Other families,8329716,154156
2017-06-02,4,Coffee drinks,224646,4374
2017-06-02,4,Bottled drinks,266415,12248
2017-06-02,4,Combos,14693244,103483
2017-06-02,4,Popcorn,2665397,50045
2017-06-02,4,Other families,9089007,182664
2017-06-09,1,Coffee drinks,194314,3717
2017-06-09,1,Bottled drinks,266276,11721
2017-06-09,1,Combos,12224132,86078
2017-06-09,1,Popcorn,2665608,48251
2017-06-09,1,Other families,6848421,141096
2017-06-09,2,Coffee drinks,98009,1878
2017-06-09,2,Bottled drinks,202940,8972
2017-06-09,2,Combos,9240445,64021
2017-06-09,2,Popcorn,1508907,28109
2017-06-09,2,Other families,5740530,105119
2017-06-09,3,Coffee drinks,223898,4115
2017-06-09,3,Bottled drinks,238090,10250
2017-06-09,3,Combos,10054789,67817
2017-06-09,3,Popcorn,2117887,37940
2017-06-09,3,Other families,7714441,142336
2017-06-09,4,Coffee drinks,231814,4496
2017-06-09,4,Bottled drinks,253277,11648
2017-06-09,4,Combos,12798376,90994
2017-06-09,4,Popcorn,2563163,48477
2017-06-09,4,Other families,8200017,164961
2017-06-16,1,Coffee drinks,145408,2797
2017-06-16,1,Bottled drinks,282442,12318
2017-06-16,1,Combos,13103758,93052
2017-06-16,1,Popcorn,2572390,46394
2017-06-16,1,Other families,7103049,146522
2017-06-16,2,Coffee drinks,78085,1511
2017-06-16,2,Bottled drinks,229503,9888
2017-06-16,2,Combos,9880465,68798
2017-06-16,2,Popcorn,1479053,27416
2017-06-16,2,Other families,6000575,110000
2017-06-16,3,Coffee drinks,190329,3552
2017-06-16,3,Bottled drinks,242807,10333
2017-06-16,3,Combos,11115483,75139
2017-06-16,3,Popcorn,2083896,37237
2017-06-16,3,Other families,8176248,151947
2017-06-16,4,Coffee drinks,204121,3963
2017-06-16,4,Bottled drinks,246208,11196
2017-06-16,4,Combos,13322600,95292
2017-06-16,4,Popcorn,2404009,45498
2017-06-16,4,Other families,8342892,166727
2017-06-23,1,Coffee drinks,181293,3473
2017-06-23,1,Bottled drinks,259788,11318
2017-06-23,1,Combos,12134490,85001
2017-06-23,1,Popcorn,2633832,47790
2017-06-23,1,Other families,7191202,141836
2017-06-23,2,Coffee drinks,120155,2289
2017-06-23,2,Bottled drinks,200815,8751
2017-06-23,2,Combos,9141524,62957
2017-06-23,2,Popcorn,1495635,27832
2017-06-23,2,Other families,6084011,107519
2017-06-23,3,Coffee drinks,260303,4838
2017-06-23,3,Bottled drinks,235756,10053
2017-06-23,3,Combos,9878388,66170
2017-06-23,3,Popcorn,2071057,37339
2017-06-23,3,Other families,8194781,145511
2017-06-23,4,Coffee drinks,197442,3865
2017-06-23,4,Bottled drinks,233653,10802
2017-06-23,4,Combos,11685627,83033
2017-06-23,4,Popcorn,2424854,45923
2017-06-23,4,Other families,7989797,154658
2017-06-30,1,Coffee drinks,194740,3686
2017-06-30,1,Bottled drinks,298618,12987
2017-06-30,1,Combos,16640191,114430
2017-06-30,1,Popcorn,3300170,58632
2017-06-30,1,Other families,9544313,184838
2017-06-30,2,Coffee drinks,138031,2583
2017-06-30,2,Bottled drinks,228086,9933
2017-06-30,2,Combos,12251729,82302
2017-06-30,2,Popcorn,1813467,33160
2017-06-30,2,Other families,7773399,136478
2017-06-30,3,Coffee drinks,327264,5919
2017-06-30,3,Bottled drinks,278157,11811
2017-06-30,3,Combos,14702364,95896
2017-06-30,3,Popcorn,2761968,48638
2017-06-30,3,Other families,11370586,201630
2017-06-30,4,Coffee drinks,223992,4348
2017-06-30,4,Bottled drinks,279130,12747
2017-06-30,4,Combos,16540444,115087
2017-06-30,4,Popcorn,2971697,55458
2017-06-30,4,Other families,10785669,206761
2017-07-07,1,Coffee drinks,186137,3553
2017-07-07,1,Bottled drinks,275454,12008
2017-07-07,1,Combos,15241334,105740
2017-07-07,1,Popcorn,3057603,54088
2017-07-07,1,Other families,7887369,158934
2017-07-07,2,Coffee drinks,135257,2580
2017-07-07,2,Bottled drinks,197489,8629
2017-07-07,2,Combos,11239383,76416
2017-07-07,2,Popcorn,1681457,30755
2017-07-07,2,Other families,6512681,118815
2017-07-07,3,Coffee drinks,335448,6098
2017-07-07,3,Bottled drinks,244352,10446
2017-07-07,3,Combos,13411481,88124
2017-07-07,3,Popcorn,2597776,45751
2017-07-07,3,Other families,9347142,173814
2017-07-07,4,Coffee drinks,210816,4048
2017-07-07,4,Bottled drinks,239911,10894
2017-07-07,4,Combos,14768889,103566
2017-07-07,4,Popcorn,2692514,49980
2017-07-07,4,Other families,8672838,172132
2017-07-14,1,Coffee drinks,190375,3658
2017-07-14,1,Bottled drinks,247915,10859
2017-07-14,1,Combos,12904068,90073
2017-07-14,1,Popcorn,2667619,47963
2017-07-14,1,Other families,6951566,139225
2017-07-14,2,Coffee drinks,130562,2437
2017-07-14,2,Bottled drinks,190949,8424
2017-07-14,2,Combos,9625588,66077
2017-07-14,2,Popcorn,1503504,27591
2017-07-14,2,Other families,5767655,104356
2017-07-14,3,Coffee drinks,274561,5025
2017-07-14,3,Bottled drinks,227184,9736
2017-07-14,3,Combos,11138524,74140
2017-07-14,3,Popcorn,2228246,39587
2017-07-14,3,Other families,8100665,148201
2017-07-14,4,Coffee drinks,208235,4050
2017-07-14,4,Bottled drinks,241530,11113
2017-07-14,4,Combos,13113586,92505
2017-07-14,4,Popcorn,2539992,47508
2017-07-14,4,Other families,8206161,161276
2017-07-21,1,Coffee drinks,192064,3625
2017-07-21,1,Bottled drinks,246877,10764
2017-07-21,1,Combos,13186849,92091
2017-07-21,1,Popcorn,2785296,49634
2017-07-21,1,Other families,7076445,144573
2017-07-21,2,Coffee drinks,130285,2447
2017-07-21,2,Bottled drinks,188913,8312
2017-07-21,2,Combos,9847238,67445
2017-07-21,2,Popcorn,1541624,28245
2017-07-21,2,Other families,5862800,107708
2017-07-21,3,Coffee drinks,299888,5513
2017-07-21,3,Bottled drinks,220842,9534
2017-07-21,3,Combos,11312769,74886
2017-07-21,3,Popcorn,2321159,41094
2017-07-21,3,Other families,8205671,151328
2017-07-21,4,Coffee drinks,206420,4016
2017-07-21,4,Bottled drinks,243663,11178
2017-07-21,4,Combos,14202498,100063
2017-07-21,4,Popcorn,2682143,50168
2017-07-21,4,Other families,8468908,169453
2017-07-28,1,Coffee drinks,209746,4027
2017-07-28,1,Bottled drinks,277241,12164
2017-07-28,1,Combos,13769344,96982
2017-07-28,1,Popcorn,3003293,53401
2017-07-28,1,Other families,7351214,150651
2017-07-28,2,Coffee drinks,131564,2494
2017-07-28,2,Bottled drinks,221736,9714
2017-07-28,2,Combos,10458231,72396
2017-07-28,2,Popcorn,1682764,30904
2017-07-28,2,Other families,6072933,111555
2017-07-28,3,Coffee drinks,282047,5199
2017-07-28,3,Bottled drinks,266966,11506
2017-07-28,3,Combos,12665020,84775
2017-07-28,3,Popcorn,2588948,45816
2017-07-28,3,Other families,8791468,164470
2017-07-28,4,Coffee drinks,220769,4269
2017-07-28,4,Bottled drinks,268760,12319
2017-07-28,4,Combos,14750504,104578
2017-07-28,4,Popcorn,2846512,53018
2017-07-28,4,Other families,8604805,172925
2017-08-04,1,Coffee drinks,184743,3548
2017-08-04,1,Bottled drinks,277639,12164
2017-08-04,1,Combos,13011127,91828
2017-08-04,1,Popcorn,2909610,52057
2017-08-04,1,Other families,6749514,141530
2017-08-04,2,Coffee drinks,133680,2532
2017-08-04,2,Bottled drinks,205314,9048
2017-08-04,2,Combos,9757828,67334
2017-08-04,2,Popcorn,1600282,29376
2017-08-04,2,Other families,5583521,105539
2017-08-04,3,Coffee drinks,260399,4780
2017-08-04,3,Bottled drinks,246250,10578
2017-08-04,3,Combos,10896245,73573
2017-08-04,3,Popcorn,2306397,40725
2017-08-04,3,Other families,7717068,143949
2017-08-04,4,Coffee drinks,208237,4079
2017-08-04,4,Bottled drinks,259377,11945
2017-08-04,4,Combos,13144017,93288
2017-08-04,4,Popcorn,2657588,49658
2017-08-04,4,Other families,7710851,158892
2017-08-11,1,Coffee drinks,219338,4183
2017-08-11,1,Bottled drinks,297732,13079
2017-08-11,1,Combos,13729786,97352
2017-08-11,1,Popcorn,3085488,55320
2017-08-11,1,Other families,7335292,151962
2017-08-11,2,Coffee drinks,136191,2559
